Instalação;"Nº de Incidentes";Incidentes
"  ";" 16 ";" 2019, 5861, 12557, 12558, 12563, 12568, 12735, 12745, 12747, 12748, 12751, 12752, 12753, 12766, 12789, 12797 "
" SEE-TEDO-22602 ";" 3 ";" 12535, 12537, 12551 "
" SEE-SAES-22268 ";" 1 ";" 12538 "
" SEE-JABA-22527 ";" 1 ";" 12544 "
" SEE-JAIA-22150 ";" 1 ";" 12546 "
" SEE-LUIA-23330 ";" 1 ";" 12547 "
" SEE-NOHA-22542 ";" 1 ";" 12549 "
" SEE-NORO-22944 ";" 1 ";" 12550 "
" SEE-TENI-22980 ";" 2 ";" 12540, 12552 "
" SEE-SAES-22259 ";" 1 ";" 12556 "
