Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-ANOS-3852;21;19;10;43;44;45;skyware;36220-000;"RUA EUCLIDES RIBEIRO";" 99";;"ANTÔNIO CARLOS";"SL 4033";;
SES-BANA-3613;21;13;24;43;47;32;skyware;36202-508;"Rua Tenente Aloir Amaral Nogueira";" 200";;BARBACENA;"SL 4033";;
SES-BEIM-3816;19;57;39;44;08;14;skyware;32667-358;"Rua Rio Japurá";310;;BETIM;"SL 4033";;
SES-BEIM-3821;19;58;60;44;11;53;skyware;32602-384;ubscachoeira@betim.mg.gov.br;;;BETIM;;;
SES-BEIM-3822;18;57;51;44;10;14;skyware;32655-556;"Rua Caldas da Rainha";69;;BETIM;;;
SES-CALO-3974;20;54;15;45;27;32;skyware;37270-000;"R. Uruguai - S/N Jd. América";;;"CAMPO BELO";"SL 4033";;
SES-MANA-3881;18;47;14;40;58;48;skyware;35290-000;"R. Olegário Maciel S/N";;;MANTENA;"SL 4033";;
SES-OUTO-4037;20;18;39;43;42;38;skyware;35412-000;"Rua Principal";S/Nº;;"OURO PRETO";"SL 4033";;
SES-OUTO-4043;20;25;20;43;36;38;skyware;35410-000;"Rua Principal";S/N;;"OURO PRETO";;;
SES-OUTO-4046;20;38;56;43;50;35;skyware;35400-000;"Rua Principal";"Nº 225";;"OURO PRETO";"SL 4033";;
SES-OUTO-4045;20;22;53;43;36;57;skyware;35410-000;"Rua Principal";S/N;;"OURO PRETO";;;
SES-RORO-0834;21;12;20;42;52;02;skyware;36510-000;"Rua CARLOS GRAVINA MARTINS";" 25 ";" ROSÁRIO";RODEIRO;"SL 4033";;
SES-SATO-3593;20;21;26;43;37;08;skyware;39185-000;"Rua Peixe Vivo";" s/n";;"SÃO GONÇALO DO RIO PRETO";"SL 4033";"Satlink 4033";
SES-JABA-3560;15;48;23;43;18;23;skyware;39440-000;"	Rua São João da Ponte";" 409 ";" Escritorio Microrregional  ";JANAÚBA;;;
SES-LAOS-0907;16;59;00;44;34;00;skyware;39360-000;"AVENIDA PRESIDENTE MEDICE nº 1118 ";;;"LAGOA DOS PATOS";"SL 4033";;
SES-MACU-3936;20;15;05;42;04;04;skyware;36900-000;"Rua Avenida Castelo Branco";" 169";;MANHUAÇU;"SL 4033";;
SES-NAAN-3558;18;27;28;42;15;00;skyware;39718000;"Avenida Doutor Antônio da Cunha";" 478";;"NACIP RAYDAN";"SL 4033";;
SES-OUTO-4051;20;54;03;43;46;05;skyware;35416-000;"Rua Vereador Hélio Ferreira";S/Nº;;"OURO PRETO";"SL 4033";;
SES-OUTO-4044;20;21;26;43;37;08;skyware;35407-000;"Rua Principal";S/N;;"OURO PRETO";"SL 4033";;
SES-OUTO-4052;20;26;31;43;49;50;skyware;35414-000;"Rua Principal S/Nº";;;"OURO PRETO";"SL 4033";;
SES-PAAS-0911;18;54;05;45;31;59;skyware;35622-000;"	RUA SILVESTRE FRANCISCO DE OLIVEIRA";" 172 ";" Centro";PAINEIRAS;"SL 4033";;
SES-PRIO-3581;18;25;10;46;25;12;skyware;38750-000;"Praça José Batista Marra";" 375";;"PRESIDENTE OLEGÁRIO";"SL 4033";;
SES-SACU-0874;20;06;23;41;55;25;skyware;36940-000;"RUA JOSÉ ASSIS S/N";;;"SANTANA DO MANHUAÇU";"SL 4033";;
SES-SATE-0922;20;16;31;45;00;12;skyware;35506-000;"avenida Paulo VI";" 1524 ";" Centro";"SÃO SEBASTIÃO DO OESTE";;;
SES-TENI-3691;17;35;58;41;29;30;skyware;39800000;"BR 116 KM 289";" s/n ";" Bairro Mucuri";"TEÓFILO OTONI";"SL 4033";;
SES-TUGA-0807;18;58;41;41;38;54;skyware;35125-000;"praça TIRADENTES";" 58 ";" CENTRO";TUMIRITINGA;"SL 4033";;
