Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-PASO-0736;17;4;12;41;28;53;patriot;39818-000;"Rua Joalma";" 105 ";" DNER";"Padre Paraiso";"SL 4035";"Satlink 4033";patriot
SES-META-0728;19;13;15;42;36;22;skyware;35166-000;"Rua Monsenhor Alipio";" 42 ";" Centro";Mesquita;"SL 4033";"Satlink 4033";patriot
SES-TENI-0655;17;51;3;41;29;38;patriot;39800-224;"Rua Santos Dummont";" 30 cvv ";" São Jacinto";"Teofilo Otoni";"SL 4035";"Satlink 4033";patriot
SES-CAHA-0646;17;41;12;42;30;54;skyware;39680-000;"avenida JK";" 0 CVV ";" Centro";Capelinha;"SL 4035";"Satlink 4033";patriot
SES-OUAS-0735;18;04;03;41;16;14;skyware;39855-000;saude@ouroverdedeminas.mg.gov.br;;;"Ouro Verde de Minas";"SL 4033";"Satlink 4033";patriot
SES-ITTO-0814;20;15;02;43;48;24;patriot;35450-000;"Rua Antônio Carlos";" 292 ";" Boa Imagem";ITABIRITO;"SL 4033";"Satlink 4033";patriot
SES-COAS-0952;21;07;39;44;28;59;skyware;36360-000;"Rua Maria da Conceição Fonseca";" 130";;"CONCEIÇÃO DA BARRA DE MINAS";"SL 4033";;
SES-ESIA-3270;19;31;14;45;47;23;patriot;35613-000;"Rua Joaquim Alves Belo";" 86";;"ESTRELA DO INDAIÁ";"SL 4033";;
SES-PEAO-0774;19;57;10;45;05;05;skyware;35515-000;"Avenida 12 de Dezembro";" 70 ";" Centro";PERDIGÃO;"SL 4033";;
SES-SANO-0789;18;28;59;41;23;23;patriot;39848-000;"Rua ANTONIO BASTOS BRAGA";" 99 ";" CENTRO.";"SÃO JOSÉ DO DIVINO";"SL 4035";;
SES-CONS-0894;19;37;51;43;59;12;skyware;33500-000;"Rua São José";" 508 ";" Centro";CONFINS;"SL 4035";"Satlink 4033";patriot
SES-MEEL-0910;19;39;29;41;24;13;patriot;35270-000;"Rua Astolfo Silva";" 79 ";" Centro";"MENDES PIMENTEL";"SL 4035";"Satlink 4033";patriot
SES-CAHO-0674;19;00;25;50;00;35;skyware;38290-000;"Avenida Josefa Rodrigues da Silva";" 0 ";" Centro";CARNEIRINHO;"SL 4033";"Satlink 4033";patriot
SES-LADA-0846;20;55;01;44;04;15;skyware;36345-000;"praça AMARO LOPES";" 606 ";" CENTRO";"LAGOA DOURADA";Patriot;"Satlink 4033";patriot
SES-LITE-0725;19;32;35;50;34;21;skyware;38295-000;"Rua São Paulo";" 766 ";" Centro";"Limeira do Oeste";"SL 4035";;
SES-COTA-0682;19;56;15;47;32;27;patriot;38195-000;"Avenida Juquinha Mendonça";" 437 ";" Centro";Conquista;"SL 4033";;
SES-SAAS-0877;20;02;54;44;15;35;skyware;32920-000;"avenida Maria do Carmo";" 810 ";" Tereza Cristina";"SÃO JOAQUIM DE BICAS";"SL 4033";;
SES-PRIS-0778;19;29;19;44;09;37;skyware;35715-000;"Rua VICENTE VAZ DE MELO";" 864 ";" SAO JOAO II";"PRUDENTE DE MORAIS";"SL 4033";;
SES-ITCU-0870;20;11;48;44;25;09;skyware;35685-000;"avenida JOSE FRANCISCO DA SILVA";" 0 ";" CENTRO";ITATIAIUÇU;"SL 4033";;
SES-DETA-0686;19;58;22;47;46;16;patriot;38108-000;"Rua Aparecida Nunes";" 170 ";" Cohab";DELTA;"SL 4033";;
SES-CORA-0858;19;59;41;44;00;24;skyware;35668-000;"Rua ZICO BICALHO";" 125 ";" CENTRO";"CONCEIÇÃO DO PARÁ";"SL 4033";;
SES-DOOS-0688;21;06;26;44;01;22;patriot;36213-000;"Rua Francisco Bernardes";" 484 ";" Centro";"DORES DE CAMPOS";"SL 4033";;
SES-CAIS-0942;19;17;09;44;24;54;skyware;35770-000;"Rua Coronel Victor Mascarenhas";" 388 ";" Centro";CAETANÓPOLIS;"SL 4033";;
SES-EUIS-0900;21;05;57;42;10;54;skyware;36855-000;"avenida Antenor Mazorque";" 400 ";" Centro";EUGENÓPOLIS;"SL 4033";;
SES-SAOA-0923;18;46;53;42;21;55;skyware;39728-000;"Rua Pepita Simões de Sardoá";" 53 ";" Centro";SARDOÁ;"SL 4035";;
SES-CLIO-0951;20;26;43;44;46;03;skyware;35530-000;"avenida Araguaia";" 127";;CLÁUDIO;"SL 4033";;
SES-CARA-0947;20;10;24;42;16;00;skyware;36925-000;"Avenida Ferreira Rios";" 0 ";" Centro";CAPUTIRA;"SL 4033";;
SES-NORA-0840;19;46;02;43;02;27;patriot;35920-000;"Rua DO OURO";" 539 ";" MANJAHY";"NOVA ERA";"SL 4033";;
SES-SAAS-0782;22;01;21;46;20;11;skyware;37775-000;"Praça 22 DE MAIO";" 0 ";" CENTRO.";"SANTA RITA DE CALDAS";"SL 4033";;
