Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena"
SES-PASO-0736;17;4;12;41;28;53;patriot;39818-000;"Rua Joalma";" 105 ";" DNER";"Padre Paraiso";"SL 4035";"Satlink 4033";patriot
SES-META-0728;19;13;15;42;36;22;skyware;35166-000;"Rua Monsenhor Alipio";" 42 ";" Centro";Mesquita;"SL 4033";"Satlink 4033";patriot
SES-TENI-0655;17;51;3;41;29;38;patriot;39800-224;"Rua Santos Dummont";" 30 cvv ";" São Jacinto";"Teofilo Otoni";"SL 4035";"Satlink 4033";patriot
SES-CAHA-0646;17;41;12;42;30;54;skyware;39680-000;"avenida JK";" 0 CVV ";" Centro";Capelinha;"SL 4035";"Satlink 4033";patriot
SES-COAS-0952;21;07;39;44;28;59;skyware;36360-000;"Rua Maria da Conceição Fonseca";" 130";;"CONCEIÇÃO DA BARRA DE MINAS";"SL 4033";;
SES-ESIA-3270;19;31;14;45;47;23;patriot;35613-000;"Rua Joaquim Alves Belo";" 86";;"ESTRELA DO INDAIÁ";"SL 4033";;
SES-OUAS-0735;18;04;03;41;16;14;skyware;39855-000;saude@ouroverdedeminas.mg.gov.br;;;"Ouro Verde de Minas";"SL 4033";"Satlink 4033";patriot
SES-PEAO-0774;19;57;10;45;05;05;skyware;35515-000;"Avenida 12 de Dezembro";" 70 ";" Centro";PERDIGÃO;"SL 4033";;
SES-ITTO-0814;20;15;02;43;48;24;patriot;35450-000;"Rua Antônio Carlos";" 292 ";" Boa Imagem";ITABIRITO;"SL 4033";"Satlink 4033";patriot
SES-SANO-0789;18;28;59;41;23;23;patriot;39848-000;"Rua ANTONIO BASTOS BRAGA";" 99 ";" CENTRO.";"SÃO JOSÉ DO DIVINO";"SL 4035";;
SES-FOSO-0803;14;56;51;46;13;54;skyware;38690-000;"Praça DA MATRIZ";" 0 ";" CENTRO";FORMOSO;"SL 4035";;
SES-BIAS-0849;18;46;55;45;30;01;skyware;35621-000;"Rua SANTA CATARINA";" 0 ";" CENTRO";BIQUINHAS;"SL 4035";"Satlink 4033";patriot
SES-CALO-0853;20;53;58;45;16;26;skyware;37270-000;"Rua EXPEDICIONÁRIO BOAVIDIR MASSOTE";" 0 ";" CENTRO";"CAMPO BELO";Patriot;"Satlink 4033";patriot
SES-CONS-0894;19;37;51;43;59;12;skyware;33500-000;"Rua São José";" 508 ";" Centro";CONFINS;"SL 4035";"Satlink 4033";patriot
SES-COUS-0895;16;41;14;44;21;28;skyware;39340-000;"Rua Nozinho Prates";" 1011 ";" Sagrada Família";"CORAÇÃO DE JESUS";;"Satlink 4033";patriot
SES-DEOS-0859;20;39;33;44;20;05;patriot;35494-000;"Rua BRASILINO JOSE DE ANDRADE ";" 65 ";" CENTRO";"DESTERRO DE ENTRE RIOS";Patriot;"Satlink 4033";patriot
SES-MEEL-0910;19;39;29;41;24;13;patriot;35270-000;"Rua Astolfo Silva";" 79 ";" Centro";"MENDES PIMENTEL";"SL 4035";"Satlink 4033";patriot
SES-MOLO-0823;21;45;24;45;32;37;skyware;37405-000;"Rua Italo Totti";" 1 ";" Centro";"MONSENHOR PAULO";"SL 4033";"Satlink 4033";patriot
SES-VIAS-0799;20;51;53;42;14;32;skyware;36895-000;"Rua LILIA MOREIRA";" 0 ";" CENTRO";VIEIRAS;"SL 4035";"Satlink 4033";patriot
SES-CAHO-0674;19;00;25;50;00;35;skyware;38290-000;"Avenida Josefa Rodrigues da Silva";" 0 ";" Centro";CARNEIRINHO;"SL 4033";"Satlink 4033";patriot
SES-LADA-0846;20;55;01;44;04;15;skyware;36345-000;"praça AMARO LOPES";" 606 ";" CENTRO";"LAGOA DOURADA";Patriot;"Satlink 4033";patriot
SES-JABA-0848;20;08;26;45;30;27;skyware;35580-000;"Rua ANTENOR FLORUNCIO DIAS";" 0 ";" SAO JOSE I";JAPARAÍBA;Patriot;"Satlink 4033";patriot
SES-LAAS-0816;21;15;01;45;00;00;patriot;37200-000;"Rua Lourenço Menicucci Filho";" 412 ";" Retiro";LAVRAS;"SL 4033";;
SES-LITE-0725;19;32;35;50;34;21;skyware;38295-000;"Rua São Paulo";" 766 ";" Centro";"Limeira do Oeste";"SL 4035";;
SES-PRES-0836;20;45;51;43;11;00;skyware;36475-000;"Rua TAQUARASSU";" 7 ";" CENTRO";"PRESIDENTE BERNARDES";Patriot;;
SES-TAAS-0881;15;48;38;42;13;52;skyware;39550-000;"avenida São João";" 59 ";" Centro";TAIOBEIRAS;"SL 4035";;
SES-SARA-0788;20;43;03;46;18;54;skyware;37945-000;"Avenida BARRA VELHA";" 405 ";" CENTRO.";"ABADIA DOS DOURADOS";"SL 4033";;
SES-COTA-0682;19;56;15;47;32;27;patriot;38195-000;"Avenida Juquinha Mendonça";" 437 ";" Centro";Conquista;"SL 4033";;
